              Epoch:          train loss       test accuracy
                   0          0.0000              1.00
                   0          0.0000              1.00
                   0          0.0000              1.00
                   1          0.0000              1.00
                   1          0.0000              1.00
                   1          0.0000              1.00
                   2          0.0000              1.00
                   2          0.0000              1.00
                   2          0.0000              1.00
                   3          0.0000              1.00
                   3          0.0000              1.00
                   3          0.0000              1.00
                   4          0.0000              1.00
                   4          0.0000              1.00
                   4          0.0000              1.00
                   5          0.0000              1.00
                   5          0.0000              1.00
                   5          0.0000              1.00
                   6          0.0000              1.00
                   6          0.0000              1.00
                   6          0.0000              1.00
                   7          0.0000              1.00
                   7          0.0000              1.00
                   7          0.0000              1.00
                   8          0.0000              1.00
                   8          0.0000              1.00
                   8          0.0000              1.00
                   9          0.0000              1.00
                   9          0.0000              1.00
                   9          0.0000              1.00
                  10          0.0000              1.00
                  10          0.0000              1.00
                  10          0.0000              1.00
                  11          0.0000              1.00
                  11          0.0000              1.00
                  11          0.0000              1.00
                  12          0.0000              1.00
                  12          0.0000              1.00
                  12          0.0000              1.00
                  13          0.0000              1.00
                  13          0.0000              1.00
                  13          0.0000              1.00
                  14          0.0000              1.00
                  14          0.0000              1.00
                  14          0.0000              1.00
                  15          0.0000              1.00
                  15          0.0000              1.00
                  15          0.0000              1.00
                  16          0.0000              1.00
                  16          0.0000              1.00
                  16          0.0000              1.00
                  17          0.0000              1.00
                  17          0.0000              1.00
                  17          0.0000              1.00
                  18          0.0000              1.00
                  18          0.0000              1.00
                  18          0.0000              1.00
                  19          0.0000              1.00
                  19          0.0000              1.00
                  19          0.0000              1.00
